region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
birmingham,8888,2005.0,nissan,altima 3.5 sl,excellent,6 cylinders,gas,53320.0,clean,automatic,fwd,sedan,brown,al
birmingham,7900,2013.0,nissan,pathfinder,good,6 cylinders,gas,152400.0,clean,automatic,fwd,SUV,white,al
birmingham,5500,2008.0,nissan,altima,like new,4 cylinders,gas,150000.0,clean,automatic,fwd,sedan,white,al
birmingham,12900,2014.0,nissan,rogue sv,good,4 cylinders,gas,120211.0,clean,automatic,fwd,SUV,red,al
birmingham,8995,2005.0,nissan,altima 3.5 sl,excellent,6 cylinders,gas,53320.0,clean,automatic,fwd,sedan,brown,al
birmingham,18900,2019.0,nissan,altima,good,4 cylinders,gas,47421.0,clean,automatic,fwd,sedan,grey,al
birmingham,34900,2020.0,nissan,pathfinder,excellent,6 cylinders,gas,15400.0,clean,automatic,rwd,SUV,white,al
birmingham,1800,2007.0,nissan,pathfinder,fair,6 cylinders,gas,147000.0,clean,automatic,fwd,SUV,grey,al
birmingham,8500,2015.0,nissan,altima 2.5 s,excellent,4 cylinders,gas,100000.0,clean,automatic,fwd,sedan,white,al
birmingham,2700,2004.0,nissan,maxima,good,6 cylinders,gas,200000.0,clean,automatic,fwd,sedan,white,al
birmingham,15900,2017.0,nissan,frontier sv,good,4 cylinders,gas,28650.0,rebuilt,automatic,rwd,truck,white,al
birmingham,26900,1994.0,nissan,skyline gts,good,4 cylinders,gas,59384.0,clean,manual,rwd,coupe,black,al
birmingham,6800,2010.0,nissan,altima,like new,4 cylinders,gas,139000.0,clean,automatic,fwd,coupe,black,al
birmingham,22900,2018.0,nissan,frontier,good,4 cylinders,gas,14570.0,clean,automatic,rwd,truck,custom,al
birmingham,21990,2018.0,nissan,maxima,good,6 cylinders,gas,25500.0,clean,automatic,fwd,sedan,white,al
birmingham,12900,2013.0,nissan,frontier s king cab,good,4 cylinders,gas,47751.0,rebuilt,manual,rwd,pickup,silver,al
birmingham,16900,2015.0,nissan,pathfinder sv,like new,6 cylinders,gas,78808.0,clean,automatic,fwd,SUV,red,al
birmingham,18900,2019.0,nissan,altima,good,4 cylinders,gas,44276.0,clean,automatic,fwd,sedan,silver,al
florence / muscle shoals,4100,2004.0,nissan,armada,good,8 cylinders,gas,226000.0,clean,automatic,4wd,SUV,grey,al
florence / muscle shoals,3500,2006.0,nissan,altima 3.5 sl,good,6 cylinders,gas,287000.0,clean,automatic,fwd,sedan,white,al
gadsden-anniston,8500,2011.0,nissan,quest s,like new,6 cylinders,gas,121000.0,clean,automatic,fwd,mini-van,white,al
